AdventurerName,AdventurerClass,AdventurerTitle,Dialog
"""라온""","""나이트""","""왕국에 충성하는 자""","""!!안녕하세요.|이 퀘스트를 수행하고 싶어서 찾아왔습니다.|허가해주실 수 있을까요?"""
"""하벨린""","""전사""","""성벽 너머의 시선""","""!!날씨가 좋네요.|이 의뢰를 수주하고 싶어 가지고 왔습니다.|검토 부탁드립니다."""
"""카렐""","""광전사""","""법과 마법의 균형자""","""!!반갑습니다.|다른 곳보다 여기에서 처리하는 게 좋을 것 같아 왔습니다.|이 퀘스트, 수락 가능할까요?"""
"""라티안""","""창술사""","""정령의 축복을 받은 자""","""!!인사드립니다.|맡고 싶은 퀘스트가 있어서 찾아왔습니다.|수주 여부를 확인해 주시면 감사하겠습니다."""
"""마카""","""마검사""","""숲과 하나된 이""","""!!좋은 하루입니다.|이 일을 꼭 해내고 싶어 들고 왔습니다.|승인해 주시면 곧바로 출발하겠습니다."""
"""지크란""","""몽크""","""고요한 사냥꾼""","""!!오늘도 평안하시길 바랍니다.|수행하고 싶은 일이 있어 찾아왔습니다.|허가가 필요해서 말씀드립니다."""
"""로키""","""닌자""","""달빛을 따르는 자""","""!!안녕하십니까.|이 의뢰는 꼭 제가 맡고 싶습니다.|허락해 주시겠습니까?"""
"""모레나""","""용기사""","""해풍에 익숙한 자""","""!!잘 지내셨는지요.|의뢰서를 확인하고 이게 적합하겠다 판단했습니다.|한 번 검토해 주실 수 있으신가요?"""
"""세라""","""사무라이""","""파도의 친구""","""!!항상 감사드립니다.|이 퀘스트에 관심이 있어 가져왔습니다.|한 번 검토해 주실 수 있으신가요?"""
"""두나스""","""바드""","""별자리를 해독하는 자""","""!!평안하셨는지요.|개인적인 판단으로 이 일을 맡고 싶어 왔습니다.|수락 가능 여부를 알려주세요."""
"""벨사리안""","""기공사""","""조개껍데기 수집가""","""!!또 뵙네요.|이 퀘스트에 도전해 보고 싶습니다.|수주가 가능할지 여쭤보러 왔습니다."""
"""루시아노""","""무도가""","""신성한 침묵자""","""!!좋은 날입니다.|맡고 싶은 일이 있어 찾아뵈었습니다.|이 퀘스트, 수락해도 괜찮을까요?"""
"""세라핀느""","""거너""","""성자의 제자""","""!!길드 분위기가 좋네요.|수행하고 싶은 퀘스트가 생겨서 이렇게 왔습니다.|한 번 봐주실 수 있으신가요?"""
"""그레이브""","""화염술사""","""순례자의 길을 걷는 자""","""!!오늘도 고생 많으십니다.|의뢰서를 검토해보니 제게 맞을 것 같았습니다.|수주가 가능한지 확인 부탁드립니다."""
"""아르젠티스""","""빙결술사""","""심연을 속삭이는 자""","""!!좋은 기운이 느껴지네요.|수행하고 싶은 퀘스트가 있어서 찾아왔습니다.|허가해 주신다면 바로 준비하겠습니다."""
"""실바니엘라""","""번개술사""","""망령의 그림자""","""!!언제나 수고가 많으십니다.|맡고 싶은 의뢰가 있어서 들고 왔습니다.|검토 후 수락 여부 알려주시면 감사하겠습니다."""
"""오르페우스""","""대지술사""","""밤을 마시는 자""","""!!늘 도움 주셔서 감사합니다.|이 퀘스트에 관심이 생겨 가져왔습니다.|가능하다면 수주 허가 부탁드립니다."""
"""칼리오스""","""풍술사""","""어둠 속 여행자""","""!!반갑습니다, 잘 계셨나요?|제가 원하는 의뢰가 있어서 들렀습니다.|이걸 맡아도 괜찮을지 여쭤봅니다."""
"""엘카드""","""인첸터""","""불의 숨결을 지닌 자""","""!!안녕하세요, 오랜만입니다.|수행하고 싶은 퀘스트가 있어서 들렀습니다.|바로 수락 가능한지 궁금해서요."""
"""타르곤""","""소환사""","""붉은 날개의 기억""","""!!좋은 기회인 것 같아 찾아왔습니다.|이 의뢰를 수행하고 싶습니다.|허가를 받을 수 있을까요?"""
"""아르벨""","""룬마법사""","""용의 시련을 견딘 자""","""!!안녕.|맡고 싶은 퀘스트가 있어서 왔어.|수락해줄 수 있을까?"""
"""리세나""","""성기사""","""화염에 면역된 자""","""!!날씨 괜찮네.|이 일, 내가 해보고 싶어서 들고 왔어.|봐줄 수 있어?"""
