QuestName,QuestDescription,QuestTier,STRWeight,MAGWeight,INSWeight,DEXWeight,PowerForClear,FameReward,GoldReward,FamePenalty,GoldPenalty,StateAfterFail,Days,IsQuesting,QuestHint
"""[브루나 항구도시] - 시장 거리의 소란""","""브루나 시장에서 발생한 소매치기 문제를 해결하라.""",4,1.2,1.2,1.1,1.3,750,120,150,30,30,0,1,0,"""눈치 빠르고 민첩한 자가 유리할 것"""
"""[브루나 항구도시] - 항구 창고 경비""","""야간에 물자 창고를 감시하고 경비해야 한다.""",4,1.1,1,1.2,1,800,140,160,20,35,0,1,0,
"""[브루나 항구도시] - 야간 등불 관리""","""항구 거리의 등불을 체크하고 교체""",4,1,1,1.1,1.1,1600,520,540,140,150,0,2,0,
"""[브루나 항구도시] - 길 잃은 어린이 찾기""","""무역선이 정박해있는 항구에서 사라진 아이를 수색하자.""",4,0.8,1,1.2,1.3,2100,350,380,100,110,0,1,0,"""날렵하고 관찰력 있는 자가 적임이다."""
"""[브루나 항구도시] - 항구 창고 정리 정돈""","""무역선의 화물을 정리하고 분류해야 한다.""",4,1.2,1,1,1.2,2850,840,800,290,280,0,2,0,
"""[브루나 항구도시] - 길드 전단지 배포""","""길드원 신규 모집 전단지를 사람들이 많이 다니는 주요 장소에 붙이고 오자.""",4,1,1,1,1.2,3200,480,470,160,150,0,1,0,
"""[브루나 항구도시] - 선박 부두 수리 지원""","""소형 선박들이 정박하는 부두의 수리를 돕자.""",4,1.2,1,1,1.1,3750,1080,1160,320,340,0,2,0,
"""[브루나 항구도시] - 해적 관련 정보 수집""","""최근 항구 인근 해역에서 발견된 수상한 움직임을 조사하자.""",4,1,1.3,1,1,4350,660,640,220,210,0,1,0,"""관찰력과 판단력이 요구됨"""
"""[브루나 항구도시] - 선박 화물 적재""","""수출용 화물을 선박에 빠르게 적재하자.""",4,1.3,1,1,1.2,4900,880,860,320,300,0,1,0,
"""[브루나 항구도시] - 마법 의뢰서 전달""","""길드에서 항구 마법 연구소로 보내는 서신을 전달하라.""",4,1,1.2,1,1.3,5400,970,950,330,310,0,1,0,
"""[엘더윈 수도국] - 마법 정원 청소""","""마법 정령이 어지럽힌 정원을 청소하자.""",4,0.9,1.4,1.2,1,640,100,120,20,30,0,1,0,"""마법적 섬세함이 필요한 작업이다"""
"""[엘더윈 수도국] - 성벽 외곽 쓰레기 정리""","""성벽 외곽의 폐기물들을 분류하고 정리해야 한다.""",4,1.4,1,1.1,1,1400,170,180,60,50,0,1,0,"""폐기물을 나르기 위해선 힘이 장사여야 한다."""
"""[엘더윈 수도국] - 불량 도로 수리 작업""","""상점가 도로의 포장재 수리를 보조하자.""",4,1.3,1,1,1,1430,400,400,110,110,0,2,0,
"""[엘더윈 수도국] - 초보 연금술사 조수 구하기""","""견습 연금술사의 재료 혼합을 도와줄 인력이 필요하다.""",4,1,1.3,1.1,1,1700,460,480,120,140,0,2,0,"""기본적인 마법 지식이 도움이 될 것이다."""
"""[엘더윈 수도국] - 학술 자료 전달""","""마법대학에서 수도원까지 학술 자료를 안전하게 전달하자.""",4,1,1.1,1.2,1.1,2100,350,320,110,100,0,1,0,
"""[엘더윈 수도국] - 수로 청소 작업""","""도심 수로의 쓰레기를 제거하고 깨끗하게 청소하자.""",4,1.3,1,1,1,2250,380,400,120,120,0,1,0,
"""[엘더윈 수도국] - 야간 묘지 순찰""","""묘지 근처의 이상 현상을 감시해야 한다.""",4,1.3,1,1,1,2700,900,860,300,280,0,2,0,"""두려움이 없는 자에게 적합하다."""
"""[엘더윈 수도국] - 화초 물 주기 대행""","""외출 중인 귀족의 정원 내 화초에 물을 주는 의뢰이다.""",4,1,1,1.2,1,3130,460,490,130,140,0,1,0,"""두려움이 없는 자에게 적합하다."""
